casename,Precursor,case_name,floris_TI,floris_U0,layout_x,layout_y,num_turbines,path,sim_length,sowfa_TI,sowfa_U0,yaw,power,ti,d_spacing,wake_table,Layouts
c_0,"neutral_5kmx2kmx1km
",c_08_highTI_D05_R-1_y-20,0.09,8.38,"(1000.0, 1630.0)","(1000.0, 937.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/peregrine_runs,2000.0,0.1,8.0,[-20.   0.],[1697.  1445.7],[0.09703535 0.16729992],5.0,[0 1],2x2
c_1,"neutral_5kmx2kmx1km
",c_08_highTI_D05_R-1_y00,0.09,8.38,"(1000.0, 1630.0)","(1000.0, 937.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/peregrine_runs,2000.0,0.1,8.0,[0. 0.],[1937.5 1072.3],[0.09297836 0.17988567],5.0,[0 1],2x2
c_2,"neutral_5kmx2kmx1km
",c_08_highTI_D05_R-1_y20,0.09,8.38,"(1000.0, 1630.0)","(1000.0, 937.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/peregrine_runs,2000.0,0.1,8.0,[20.  0.],[1688.3  966.6],[0.08534319 0.13274372],5.0,[0 1],2x2
c_3,"neutral_5kmx2kmx1km
",c_08_highTI_D05_R00_y-20,0.09,8.38,"(1000.0, 1630.0)","(1000.0, 1000.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/peregrine_runs,2000.0,0.1,8.0,[-20.   0.],[1699.3  907.2],[0.09688156 0.12228484],5.0,[0 1],1x2
c_4,"neutral_5kmx2kmx1km
",c_08_highTI_D05_R00_y00,0.09,8.38,"(1000.0, 1630.0)","(1000.0, 1000.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/peregrine_runs,2000.0,0.1,8.0,[0. 0.],[1938.   752.7],[0.09285372 0.10368957],5.0,[0 1],1x2
c_5,"neutral_5kmx2kmx1km
",c_08_highTI_D05_R00_y20,0.09,8.38,"(1000.0, 1630.0)","(1000.0, 1000.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/peregrine_runs,2000.0,0.1,8.0,[20.  0.],[1688.4 1039.4],[0.08525345 0.14790403],5.0,[0 1],1x2
c_6,"neutral_5kmx2kmx1km
",c_08_highTI_D05_R01_y-20,0.09,8.38,"(1000.0, 1630.0)","(1000.0, 1063.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/peregrine_runs,2000.0,0.1,8.0,[-20.   0.],[1698.4 1023. ],[0.09691056 0.16037381],5.0,[0 1],2x2
c_7,"neutral_5kmx2kmx1km
",c_08_highTI_D05_R01_y00,0.09,8.38,"(1000.0, 1630.0)","(1000.0, 1063.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/peregrine_runs,2000.0,0.1,8.0,[0. 0.],[1936.5 1217.5],[0.09287234 0.18262415],5.0,[0 1],2x2
c_8,"neutral_5kmx2kmx1km
",c_08_highTI_D05_R01_y20,0.09,8.38,"(1000.0, 1630.0)","(1000.0, 1063.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/peregrine_runs,2000.0,0.1,8.0,[20.  0.],[1686.1 1607.9],[0.08520712 0.13365141],5.0,[0 1],2x2
c_9,"neutral_5kmx2kmx1km
",B_031_nhigh_yaw_base_Lno3,0.09,8.38,"(1000.0, 1756.0)","(850.0, 850.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_sims/peregrine_runs,2000.0,0.1,8.0,[0. 0.],[1544.4  777.9],[0.11618824 0.15359956],6.0,[0 1],1x2
c_10,"neutral_5kmx2kmx1km
",B_033_nhigh_yaw_c2_Lno3,0.09,8.38,"(1000.0, 1756.0)","(850.0, 850.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_sims/peregrine_runs,2000.0,0.1,8.0,[ 0. 20.],[1544.9  693.2],[0.1161963  0.15120336],6.0,[0 1],1x2
c_11,"neutral_5kmx2kmx1km
",B_032_nhigh_yaw_c1_Lno3,0.09,8.38,"(1000.0, 1756.0)","(850.0, 850.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_sims/peregrine_runs,2000.0,0.1,8.0,[20.  0.],[1350.4 1034.7],[0.10941211 0.14907173],6.0,[0 1],1x2
c_12,"neutral_5kmx2kmx1km
",B_034_nhigh_yaw_c12_Lno3,0.09,8.38,"(1000.0, 1756.0)","(850.0, 850.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_sims/peregrine_runs,2000.0,0.1,8.0,[20. 20.],[1351.5  884.6],[0.10934257 0.13587773],6.0,[0 1],1x2
c_13,"neutral_5kmx2kmx1km
",C_031_nhigh_yaw_base_Lno3,0.09,8.38,"(1000.0, 1756.0)","(1000.0, 1000.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_sims/peregrine_runs,2000.0,0.1,8.0,[0. 0.],[1940.5  849.7],[0.09288069 0.11507992],6.0,[0 1],1x2
c_14,"neutral_5kmx2kmx1km
",C_033_nhigh_yaw_c2_Lno3,0.09,8.38,"(1000.0, 1756.0)","(1000.0, 1000.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_sims/peregrine_runs,2000.0,0.1,8.0,[ 0. 20.],[1941.2  761.8],[0.09285989 0.10376137],6.0,[0 1],1x2
c_15,"neutral_5kmx2kmx1km
",C_032_nhigh_yaw_c1_Lno3,0.09,8.38,"(1000.0, 1756.0)","(1000.0, 1000.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_sims/peregrine_runs,2000.0,0.1,8.0,[20.  0.],[1689.5 1149.4],[0.08531861 0.14773183],6.0,[0 1],1x2
c_16,"neutral_5kmx2kmx1km
",C_034_nhigh_yaw_c12_Lno3,0.09,8.38,"(1000.0, 1756.0)","(1000.0, 1000.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_sims/peregrine_runs,2000.0,0.1,8.0,[20. 20.],[1690.9  984.6],[0.08538823 0.1263027 ],6.0,[0 1],1x2
c_17,"neutral_5kmx2kmx1km
",A_031_nhigh_yaw_base_Lno3,0.09,8.38,"(1000.0, 1756.0)","(1150.0, 1150.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_sims/peregrine_runs,2000.0,0.1,8.0,[0. 0.],[1800.5  864.1],[0.0865475  0.09337726],6.0,[0 1],1x2
c_18,"neutral_5kmx2kmx1km
",A_033_nhigh_yaw_c2_Lno3,0.09,8.38,"(1000.0, 1756.0)","(1150.0, 1150.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_sims/peregrine_runs,2000.0,0.1,8.0,[ 0. 20.],[1801.4  770.2],[0.08651811 0.09165903],6.0,[0 1],1x2
c_19,"neutral_5kmx2kmx1km
",A_032_nhigh_yaw_c1_Lno3,0.09,8.38,"(1000.0, 1756.0)","(1150.0, 1150.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_sims/peregrine_runs,2000.0,0.1,8.0,[20.  0.],[1572.1 1134.6],[0.08163283 0.13878924],6.0,[0 1],1x2
c_20,"neutral_5kmx2kmx1km
",A_034_nhigh_yaw_c12_Lno3,0.09,8.38,"(1000.0, 1756.0)","(1150.0, 1150.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/three_turbine_sims/peregrine_runs,2000.0,0.1,8.0,[20. 20.],[1573.2  972.3],[0.08163061 0.1165098 ],6.0,[0 1],1x2
c_21,"neutral_5kmx2kmx1km
",c_08_highTI_D07_R-1_y-20,0.09,8.38,"(1000.0, 1882.0)","(1000.0, 937.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/dont_use_peregrine_runs_2,2000.0,0.1,8.0,[-20.   0.],[1701.8 1469.9],[0.0968687  0.17837286],7.0,[0 1],2x2
c_22,"neutral_5kmx2kmx1km
",c_08_highTI_D07_R-1_y00,0.09,8.38,"(1000.0, 1882.0)","(1000.0, 937.0)",2,sowfa_library (Paul.fleming@nrel.gov)/full_runs/large_tuning_suite/dont_use_peregrine_runs_2,2000.0,0.1,8.0,[0. 0.],[1941.3 1111.6],[0.09282572 0.17163613],7.0,[0 1],2x2
